timestamp,open,high,low,close,volume
2023/12/06 22:20,44024.5,44039.5,43982.5,44016.5,1929722
2023/12/06 22:25,44016.5,44119.5,44016.5,44040,2286824
2023/12/06 22:30,44040,44160,44020,44099.5,1991125
2023/12/06 22:35,44099.5,44145.5,44035,44097,2605566
2023/12/06 22:40,44097,44104,44034.5,44068.5,1730512
2023/12/06 22:45,44068.5,44131,44039,44050,2390844
2023/12/06 22:50,44050,44143.5,44039.5,44115.5,2499850
2023/12/06 22:55,44115.5,44177,44102.5,44121,2729454
2023/12/06 23:00,44121,44187.5,44081.5,44089,2653125
2023/12/06 23:05,44089,44137,44049.5,44132,3614298
2023/12/06 23:10,44132,44158.5,44086.5,44128.5,1060653
2023/12/06 23:15,44128.5,44265.5,44128.5,44177.5,4677325
2023/12/06 23:20,44177.5,44240.5,44136,44201,2412228
2023/12/06 23:25,44201,44305,44172.5,44242.5,3642438
2023/12/06 23:30,44242.5,44300,44102,44283,7418008
2023/12/06 23:35,44283,44283,43960.5,44005,7629369
2023/12/06 23:40,44005,44273,43964,44241,11101586
2023/12/06 23:45,44241,44252,44040.5,44111.5,2880417
2023/12/06 23:50,44111.5,44182.5,44057,44065,1395274
2023/12/06 23:55,44065,44126,44052,44078,1451482
2023/12/07 00:00,44078,44105,44000,44034,6648490
2023/12/07 00:05,44034,44071,43968.5,44059.5,3233526
2023/12/07 00:10,44059.5,44110,44059.5,44096.5,1482818
2023/12/07 00:15,44096.5,44115,43922,43968.5,2582787
2023/12/07 00:20,43968.5,44028,43951.5,43969.5,3393493
2023/12/07 00:25,43969.5,43986.5,43874.5,43928,4100200
2023/12/07 00:30,43928,43999,43881,43883,1728520
2023/12/07 00:35,43883,43943,43804.5,43858,4310794
2023/12/07 00:40,43858,43990.5,43857,43861,3141898
2023/12/07 00:45,43861,43954.5,43810.5,43831,1211989
2023/12/07 00:50,43831,43847.5,43734,43805,8008028
2023/12/07 00:55,43805,43863.5,43765.5,43806.5,3267765
2023/12/07 01:00,43806.5,43885,43750,43885,3202410
2023/12/07 01:05,43885,43894,43755,43763,2446844
2023/12/07 01:10,43763,43882.5,43756,43779,1302467
2023/12/07 01:15,43779,43909.5,43775.5,43909.5,1958166
2023/12/07 01:20,43909.5,43966.5,43889,43966.5,5980348
2023/12/07 01:25,43966.5,44037.5,43948,44018.5,4869752
2023/12/07 01:30,44018.5,44065.5,43968.5,43968.5,2603295
2023/12/07 01:35,43968.5,44063,43968.5,44053,1127721
2023/12/07 01:40,44053,44053,43936.5,44014,3065496
2023/12/07 01:45,44014,44019.5,43840,43848,3542383
2023/12/07 01:50,43848,43917,43806.5,43868.5,2779692
2023/12/07 01:55,43868.5,43894,43807.5,43865,1563356
2023/12/07 02:00,43865,43936,43834,43897.5,1965984
2023/12/07 02:05,43897.5,43968,43875,43960.5,1643168
2023/12/07 02:10,43960.5,44128.5,43953.5,44103,4508314
2023/12/07 02:15,44103,44120.5,44048.5,44085,2040163
2023/12/07 02:20,44085,44099.5,44032.5,44058.5,780839
2023/12/07 02:25,44058.5,44074.5,44020.5,44029.5,799573
2023/12/07 02:30,44029.5,44170.5,44020,44104,2843465
2023/12/07 02:35,44104,44104,44039.5,44095,347251
2023/12/07 02:40,44095,44125.5,44078.5,44125.5,323076
2023/12/07 02:45,44125.5,44143,44073,44124.5,5575759
2023/12/07 02:50,44124.5,44127,44005,44015.5,1015532
2023/12/07 02:55,44015.5,44015.5,43903,43975.5,9620312
2023/12/07 03:00,43975.5,43994.5,43901.5,43914,1134878
2023/12/07 03:05,43914,43950.5,43899.5,43914,1100262
2023/12/07 03:10,43914,43937,43894,43894.5,1922104
2023/12/07 03:15,43894.5,43980.5,43872.5,43963.5,1715047
2023/12/07 03:20,43963.5,43963.5,43898.5,43948,966588
2023/12/07 03:25,43948,43948,43893.5,43931.5,1314849
2023/12/07 03:30,43931.5,43995,43902.5,43955.5,677936
2023/12/07 03:35,43955.5,44029,43934,44013.5,2762830
2023/12/07 03:40,44013.5,44022.5,43972,43995.5,1103816
2023/12/07 03:45,43995.5,44018,43958.5,44000.5,823273
2023/12/07 03:50,44000.5,44007.5,43936,43982,1206776
2023/12/07 03:55,43982,43982,43903.5,43958,1059045
2023/12/07 04:00,43958,43981.5,43933,43937,180141
2023/12/07 04:05,43937,43977,43937,43971.5,324380
2023/12/07 04:10,43971.5,44008,43935.5,44004.5,366247
2023/12/07 04:15,44004.5,44025,43958.5,43989.5,546971
2023/12/07 04:20,43989.5,43996,43941.5,43980.5,375376
2023/12/07 04:25,43980.5,43996.5,43943.5,43994,85396
2023/12/07 04:30,43994,44031,43994,44020.5,480899
2023/12/07 04:35,44020.5,44030,43978,44030,644842
2023/12/07 04:40,44030,44142.5,44030,44103.5,3559425
2023/12/07 04:45,44103.5,44150.5,44052.5,44133,2654687
2023/12/07 04:50,44133,44133,43953.5,43996.5,1387769
2023/12/07 04:55,43996.5,44031,43968,44008.5,626024
2023/12/07 05:00,44008.5,44071,44008.5,44065.5,261075
2023/12/07 05:05,44065.5,44080,44037,44072.5,784690
2023/12/07 05:10,44072.5,44091,44021,44081.5,2452642
2023/12/07 05:15,44081.5,44099,44028.5,44088.5,1055077
2023/12/07 05:20,44088.5,44096.5,43985,44008,891228
2023/12/07 05:25,44008,44041,43983,43996,339226
2023/12/07 05:30,43996,44028,43970.5,44028,321407
2023/12/07 05:35,44028,44077,44000.5,44063.5,660112
2023/12/07 05:40,44063.5,44086.5,43980,43992.5,315388
2023/12/07 05:45,43992.5,43993,43904,43937,2274717
2023/12/07 05:50,43937,43937,43831,43847.5,8562521
2023/12/07 05:55,43847.5,43889.5,43758,43758,8444224
2023/12/07 06:00,43758,43835,43753,43783.5,2263644
2023/12/07 06:05,43783.5,43879,43783.5,43807,866446
2023/12/07 06:10,43807,43869,43802,43811,666530
2023/12/07 06:15,43811,43855.5,43774,43855.5,1159778
2023/12/07 06:20,43855.5,43869,43796.5,43797,523943
2023/12/07 06:25,43797,43844,43769.5,43827.5,571100
2023/12/07 06:30,43827.5,43841,43668,43675.5,8063799
2023/12/07 06:35,43675.5,43745.5,43616.5,43729.5,4543018
2023/12/07 06:40,43729.5,43775.5,43707,43738.5,1417408
2023/12/07 06:45,43738.5,43846.5,43727,43811,2296199
2023/12/07 06:50,43811,43814.5,43760,43808,563587
2023/12/07 06:55,43808,43845.5,43798.5,43842.5,572841
2023/12/07 07:00,43842.5,43887,43826,43876.5,1701383
2023/12/07 07:05,43876.5,43920,43876.5,43915,2223921
2023/12/07 07:10,43915,43931,43904.5,43926,608464
2023/12/07 07:15,43926,43947.5,43924,43947.5,758527
2023/12/07 07:20,43947.5,43949,43901,43908,460107
2023/12/07 07:25,43908,43923,43888,43919,857282
2023/12/07 07:30,43919,43958.5,43913.5,43924,558937
2023/12/07 07:35,43924,43966.5,43858,43858.5,1351533
2023/12/07 07:40,43858.5,43864,43814,43814,1362318
2023/12/07 07:45,43814,43850,43800,43812,2121346
2023/12/07 07:50,43812,43812,43631.5,43675,3517906
2023/12/07 07:55,43675,43818.5,43668.5,43782.5,2557188
2023/12/07 08:00,43782.5,43782.5,43702,43720.5,1346676
2023/12/07 08:05,43720.5,43720.5,43638,43684.5,2816747
2023/12/07 08:10,43684.5,43689.5,43600,43686,2684856
2023/12/07 08:15,43686,43748,43667.5,43693.5,1897025
2023/12/07 08:20,43693.5,43770.5,43693.5,43739,1177799
2023/12/07 08:25,43739,43767.5,43735,43735,1477847
